#Title: UBVRI Photometric Standard Stars Around The Celestial Equator: Updates and Additions.   Landolt, 2009, AJ 137, 4186
#Author: Landolt A.U. Table: UBVRI Photometry of Standard Stars   aj298675t2_mrt.txt   PM (mas/yr)added from table5 aj298675t5_mrt.txt. 
# Blanks removed from name strings, Colons in coords, Errors for single obs changed from blanks to 0.009, DLtypes where available from: Drilling & Landolt 1979, AJ, 84, 783 
# Tphe-E removed, 0-593 stars.  SA92-260 & SA109-956 coords (and 2mass) corrected
#-------------------------------------------------------Landolt 2009------------------------------------------------------------------------------|------------------- 2MASS ---------------------------------------|----------------UKIRT-----------|-NOMAD
name       RhRmRs      Dddmds      V     B-V    U-B    V-R    R-I    V-I     n   m   eV    eBV    eUB    eVR    eVI     pmRA     pmDE  DLtype    J2m  meJ2m   H2m  meH2m   K2m  meK2m    2mra      2mde   d2m"    Zv     Yv    Jmko   Hmko  Kmko    Rn 
SA98-556    06:51:29.537 -00:24:50.78 14.137 +0.338 +0.126 +0.196 +0.243 +0.437   6   3 0.0053 0.0053 0.0131 0.0057 0.0090     6.5     0.0  ______  13.345 0.026 13.168 0.022 13.084 0.029 102.87307  -0.41410  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  13.95
SA98-562    06:51:30.674 -00:18:58.70 12.185 +0.522 -0.002 +0.305 +0.303 +0.607   2   1 0.0028 0.0049 0.0035 0.0014 0.009     -4.2    -9.8  ______  11.198 0.022 10.953 0.022 10.905 0.023 102.87780  -0.31631  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  12.45
SA98-563    06:51:31.543 -00:26:25.60 14.162 +0.416 -0.190 +0.294 +0.317 +0.610  10   5 0.0051 0.0085 0.0073 0.0044 0.0082     0.9     3.0  ______  13.107 0.026 12.977 0.025 12.914 0.030 102.88142  -0.44044  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  14.20
SA98-978    06:51:33.730 -00:11:31.53 10.574 +0.609 +0.094 +0.348 +0.321 +0.669  96  88 0.0004 0.0005 0.0011 0.0003 0.0004    24.8   -29.7  G3V___   9.512 0.023  9.257 0.022  9.173 0.021 102.89055  -0.19207  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  10.35
SA98-L1     06:51:39.022 -00:26:36.28 15.672 +1.243 +0.776 +0.730 +0.712 +1.445   3   2 0.0075 0.0462 0.0976 0.0110 0.0318    -4.4     2.9  ______  13.098 0.026 12.431 0.026 12.351 0.026 102.91260  -0.44340  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  15.12
SA98-580    06:51:39.76  -00:26:41.9  14.728 +0.367 +0.303 +0.241 +0.305 +0.547   4   2 0.0255 0.0185 0.0185 0.0125 0.0395     0.0     0.0  ______  13.765 0.035 13.660 0.030 13.481 0.042 102.91565  -0.44496  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.53
SA98-581    06:51:39.901 -00:25:41.86 14.556 +0.238 +0.161 +0.118 +0.244 +0.361   7   3 0.0246 0.0280 0.0200 0.0193 0.0155    -0.8    -6.0  ______  13.900 0.028 13.810 0.026 13.733 0.049 102.91626  -0.42828  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  14.72
SA98-L2     06:51:40.52  -00:21:59.0  15.859 +1.340 +1.497 +0.754 +0.572 +1.327   1   1 0.009  0.009  0.009  0.009  0.009      0.0     0.0  ______  13.662 0.032 13.010 0.032 12.903 0.034 102.91884  -0.36639  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  15.27
SA98-L3     06:51:42.24  -00:15:55.3  14.614 +1.936 +1.837 +1.091 +1.047 +2.142   4   2 0.0145 0.0265 0.1450 0.0090 0.0110     0.0     0.0  ______  10.806 0.023  9.917 0.024  9.643 0.024 102.92601  -0.26535  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.79
SA98-L4     06:51:42.25  -00:16:21.3  16.332 +1.344 +1.086 +0.936 +0.785 +1.726   2   2 0.0580 0.0325 0.3429 0.0205 0.0580     0.0     0.0  ______  13.149 0.024 12.488 0.026 12.295 0.027 102.92606  -0.27257  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  15.17
SA98-590    06:51:42.973 -00:22:18.91 14.642 +1.352 +0.853 +0.753 +0.747 +1.500   4   2 0.0110 0.0120 0.0525 0.0050 0.0135     4.2    -3.8  ______  11.995 0.024 11.389 0.026 11.160 0.024 102.92905  -0.37189  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.31
SA98-1002   06:51:43.094 -00:15:52.20 14.568 +0.574 -0.027 +0.354 +0.379 +0.733   4   2 0.0055 0.0065 0.0110 0.0070 0.0130    -6.5    -1.5  ______  13.438 0.028 13.170 0.026 13.112 0.026 102.92957  -0.26450  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  14.30
SA98-614    06:51:48.634 -00:20:32.52 15.674 +1.063 +0.399 +0.834 +0.645 +1.480   2   1 0.0424 0.0474 0.0311 0.0226 0.0580     4.5     2.6  ______  13.361 0.026 12.831 0.027 12.673 0.026 102.95265  -0.34235  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.69
SA98-618    06:51:49.579 -00:21:15.75 12.723 +2.192 +2.144 +1.254 +1.151 +2.407  14   7 0.0051 0.0075 0.0307 0.0035 0.0045    -0.5    -8.1  ______   8.467 0.023  7.475 0.042  7.085 0.023 102.95658  -0.35434  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  11.02
SA98-624    06:51:51.798 -00:20:16.03 13.811 +0.791 +0.394 +0.417 +0.404 +0.822   2   1 0.0141 0.0240 0.0042 0.0014 0.0198    -1.2   -12.7  ______  12.335 0.022 12.006 0.024 11.928 0.024 102.96584  -0.33777  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.84
SA98-626    06:51:52.394 -00:20:43.28 14.758 +1.406 +1.067 +0.806 +0.816 +1.624   2   1 0.0071 0.0028 0.0438 0.0092 0.0113     3.6    -2.2  ______  11.977 0.022 11.299 0.027 11.098 0.021 102.96830  -0.34532  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.39
SA98-627    06:51:53.01  -00:22:01.0  14.900 +0.689 +0.078 +0.428 +0.387 +0.817   2   1 0.0064 0.0170 0.0085 0.0007 0.0127     0.0     0.0  ______  13.484 0.029 13.148 0.033 12.980 0.034 102.97088  -0.36694  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  14.63
SA98-634    06:51:55.741 -00:20:55.11 14.608 +0.647 +0.123 +0.382 +0.372 +0.757   2   1 0.0042 0.0049 0.0127 0.0113 0.0064    -4.4   -11.4  ______  13.414 0.023 13.130 0.024 13.032 0.034 102.98226  -0.34860  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.58
SA98-642    06:51:59.018 -00:21:31.71 15.290 +0.571 +0.318 +0.302 +0.393 +0.697   2   1 0.0191 0.0453 0.0120 0.0198 0.0177     5.1     7.3  ______  14.016 0.024 13.813 0.033 13.737 0.042 102.99590  -0.35878  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  15.20
SA98-185    06:52:01.886 -00:27:21.57 10.537 +0.202 +0.114 +0.110 +0.122 +0.231  79  68 0.0010 0.0005 0.0012 0.0004 0.0007     0.5     0.6  A2____  10.093 0.023 10.025 0.026  9.946 0.023 103.00788  -0.45598  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  10.37
SA98-646    06:52:02.281 -00:21:15.97 15.839 +1.060 +1.426 +0.583 +0.504 +1.090   1   1 0.009  0.009  0.009  0.009  0.009     -4.7   -16.5  ______  13.961 0.028 13.519 0.032 13.408 0.038 103.00954  -0.35441  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  15.21
SA98-193    06:52:03.381 -00:27:18.41 10.026 +1.176 +1.152 +0.614 +0.536 +1.151  99  84 0.0005 0.0005 0.0016 0.0005 0.0006     1.2   -11.2  K1III_   8.021 0.023  7.486 0.057  7.297 0.023 103.01409  -0.45509  0.1 -9.99  -9.99  -9.99  -9.99  -9.99   9.17
SA98-650    06:52:04.528 -00:19:38.29 12.271 +0.157 +0.110 +0.080 +0.086 +0.166  31  20 0.0020 0.0014 0.0041 0.0016 0.0027     3.9    -3.4  ______  11.972 0.026 11.881 0.023 11.876 0.024 103.01889  -0.32730  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.31
SA98-652    06:52:04.815 -00:21:55.63 14.817 +0.611 +0.126 +0.276 +0.339 +0.618   2   1 0.0113 0.0297 0.0177 0.0453 0.0226    -5.7    -0.1  ______  13.690 0.024 13.456 0.027 13.369 0.037 103.02008  -0.36545  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.89
SA98-653    06:52:04.954 -00:18:18.26  9.538 -0.003 -0.102 +0.010 +0.009 +0.017 114  98 0.0007 0.0003 0.0008 0.0004 0.0007     0.6    -4.1  B9____   9.476 0.023  9.473 0.023  9.452 0.019 103.02065  -0.30508  0.0 -9.99  -9.99   9.428  9.422  9.443  9.52
SA98-666    06:52:09.945 -00:23:32.01 12.732 +0.164 -0.004 +0.091 +0.108 +0.200  25  14 0.0034 0.0028 0.0042 0.0042 0.0048   -13.1     3.1  ______  12.318 0.026 12.299 0.023 12.275 0.029 103.04144  -0.39224  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  13.24
SA98-670    06:52:11.514 -00:19:16.37 11.930 +1.357 +1.325 +0.727 +0.654 +1.381  80  66 0.0005 0.0009 0.0036 0.0004 0.0007   -15.3    -8.1  ______   9.521 0.024  8.885 0.022  8.730 0.021 103.04799  -0.32123  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  11.12
SA98-671    06:52:11.830 -00:18:25.30 13.385 +0.968 +0.719 +0.575 +0.494 +1.071  27  15 0.0037 0.0048 0.0108 0.0033 0.0046     2.6   -35.1  ______  11.615 0.026 11.051 0.023 10.946 0.023 103.04930  -0.30703  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  13.18
SA98-675    06:52:13.341 -00:19:40.36 13.398 +1.909 +1.936 +1.082 +1.002 +2.085  44  21 0.0026 0.0035 0.0283 0.0018 0.0024   -13.2     3.2  ______   9.748 0.024  8.846 0.063  8.584 0.019 103.05559  -0.32790  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.98
SA98-676    06:52:13.728 -00:19:20.15 13.068 +1.146 +0.666 +0.683 +0.673 +1.352  17   8 0.0032 0.0041 0.0107 0.0015 0.0032    -1.5    -3.2  ______  10.674 0.024 10.093 0.022  9.897 0.019 103.05720  -0.32228  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.83
SA98-L5     06:52:15.73  -00:19:44.4  17.800 +1.900 -0.100 +3.100 +2.600 +5.800   6   3 0.1633 0.3266 0.4491 0.1225 0.1225     0.0     0.0  ______   8.059 0.020  6.709 0.033  6.055 0.018 103.06556  -0.32899  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  15.71
SA98-682    06:52:16.504 -00:19:40.97 13.749 +0.632 +0.098 +0.366 +0.352 +0.717  13   7 0.0039 0.0039 0.0064 0.0017 0.0039    -9.3   -12.1  ______  12.534 0.029 12.263 0.048 12.128 0.044 103.06876  -0.32807  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.86
SA98-685    06:52:18.468 -00:20:19.51 11.954 +0.463 +0.096 +0.290 +0.280 +0.570  22  14 0.0030 0.0021 0.0028 0.0023 0.0034    -0.2    -2.7  F8____  10.971 0.023 10.790 0.022 10.711 0.021 103.07695  -0.33878  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  10.98
SA98-688    06:52:18.874 -00:23:32.82 12.754 +0.293 +0.245 +0.158 +0.180 +0.337  21  11 0.0033 0.0024 0.0081 0.0037 0.0074    -2.1    -8.1  ______  12.141 0.026 12.035 0.029 11.940 0.023 103.07864  -0.39246  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  13.13
SA98-1082   06:52:20.184 -00:14:13.63 15.010 +0.835 -0.001 +0.485 +0.619 +1.102   3   1 0.0058 0.0139 0.0225 0.0029 0.0162     1.2     3.5  ______  13.197 0.028 12.942 0.036 12.790 0.029 103.08410  -0.23713  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  14.50
SA98-1087   06:52:21.099 -00:15:50.42 14.439 +1.595 +1.284 +0.928 +0.882 +1.812  12   5 0.0040 0.0141 0.0592 0.0035 0.0072    -3.8    -4.6  ______  11.272 0.023 10.524 0.022 10.304 0.019 103.08792  -0.26400  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  13.84
SA98-1102   06:52:27.949 -00:13:43.08 12.113 +0.314 +0.089 +0.193 +0.195 +0.388  15   8 0.0034 0.0026 0.0059 0.0026 0.0052    -1.4    -8.1  ______  11.448 0.024 11.321 0.023 11.278 0.023 103.11647  -0.22864  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  11.76
SA98-1112   06:52:34.895 -00:15:25.84 13.975 +0.814 +0.286 +0.443 +0.431 +0.874   5   2 0.0067 0.0040 0.0152 0.0054 0.0076    16.7   -28.2  ______  12.504 0.023 12.100 0.022 11.975 0.024 103.14543  -0.25718  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.98
SA98-1119   06:52:36.710 -00:14:31.61 11.878 +0.551 +0.069 +0.312 +0.299 +0.611   7   4 0.0023 0.0038 0.0042 0.0019 0.0045    -5.0    -6.3  ______  10.840 0.026 10.590 0.022 10.525 0.023 103.15295  -0.24210  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  11.41
SA98-724    06:52:37.225 -00:19:20.39 11.118 +1.104 +0.904 +0.575 +0.527 +1.103  12   7 0.0035 0.0035 0.0052 0.0023 0.0038     5.3    -5.4  ______   9.218 0.028  8.659 0.040  8.517 0.023 103.15510  -0.32233  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  10.32
SA98-1122   06:52:37.558 -00:17:03.70 14.090 +0.595 -0.297 +0.376 +0.442 +0.816  25  12 0.0034 0.0060 0.0074 0.0038 0.0046     0.5   -11.3  ______  12.663 0.028 12.539 0.022 12.379 0.029 103.15647  -0.28434  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.12
SA98-1124   06:52:38.050 -00:16:33.43 13.707 +0.315 +0.258 +0.173 +0.201 +0.373  24  12 0.0035 0.0043 0.0080 0.0029 0.0057     5.0    -0.8  ______  12.958 0.029 12.857 0.023 12.871 0.033 103.15852  -0.27594  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.99
SA98-733    06:52:40.073 -00:17:14.67 12.238 +1.285 +1.087 +0.698 +0.650 +1.347  20  10 0.0034 0.0042 0.0060 0.0029 0.0040    -6.5    -4.9  ______   9.872 0.024  9.217 0.022  9.033 0.024 103.16696  -0.28741  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  12.28
Ru-149G     07:24:11.928 -00:31:58.11 12.829 +0.541 +0.033 +0.322 +0.322 +0.645  18  12 0.0026 0.0040 0.0042 0.0021 0.0040     3.0    -8.1  ______  11.763 0.026 11.519 0.022 11.452 0.023 111.04971  -0.53281  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.57
Ru-149A     07:24:13.216 -00:32:53.11 14.495 +0.298 +0.118 +0.196 +0.196 +0.391  18  12 0.0066 0.0052 0.0111 0.0099 0.0139     1.4    -8.2  ______  13.904 0.030 13.748 0.033 13.772 0.051 111.05509  -0.54809  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.27
Ru-149F     07:24:14.077 -00:31:38.69 13.471 +1.115 +1.025 +0.594 +0.538 +1.132  19  11 0.0028 0.0078 0.0223 0.0021 0.0034    -5.1    -8.4  ______  11.493 0.027 10.972 0.023 10.860 0.024 111.05866  -0.52740  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  13.08
Ru-149      07:24:14.372 -00:33:04.17 13.866 -0.129 -0.779 -0.040 -0.068 -0.108  46  30 0.0022 0.0027 0.0031 0.0022 0.0069    -2.4     0.2  ______  14.109 0.030 14.219 0.036 14.188 0.067 111.05988  -0.55114  0.1 13.941 14.091 14.128 14.164 14.214 14.34
Ru-149D     07:24:15.378 -00:32:47.84 11.480 -0.037 -0.287 +0.021 +0.008 +0.029  18  11 0.0019 0.0021 0.0028 0.0012 0.0024    -1.5    -1.5  ______  11.440 0.027 11.445 0.022 11.458 0.026 111.06409  -0.54662  0.1 11.317 11.402 11.444 11.438 11.459 11.65
Ru-149C     07:24:17.312 -00:32:25.78 14.425 +0.195 +0.141 +0.093 +0.127 +0.222  18  11 0.0052 0.0042 0.0111 0.0061 0.0106    -5.6    -1.4  ______  14.003 0.027 13.857 0.033 13.863 0.051 111.07215  -0.54051  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.73
Ru-149B     07:24:17.572 -00:33:06.18 12.642 +0.662 +0.151 +0.374 +0.354 +0.728  15  10 0.0021 0.0034 0.0049 0.0018 0.0028    -9.3   -13.6  ______  11.432 0.026 11.113 0.022 11.048 0.023 111.07322  -0.55171  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  12.80
Ru-149E     07:24:18.409 -00:31:18.58 13.718 +0.522 -0.007 +0.321 +0.314 +0.637  12   8 0.0064 0.0049 0.0069 0.0035 0.0087     2.4    -5.9  ______  12.648 0.026 12.396 0.022 12.388 0.027 111.07671  -0.52182  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  13.87
Ru-152F     07:29:53.755 -02:04:51.80 14.564 +0.635 +0.069 +0.382 +0.315 +0.689  15   8 0.0052 0.0057 0.0096 0.0067 0.0222    -1.7     6.2  ______  13.271 0.027 12.896 0.026 12.852 0.029 112.47397  -2.08106  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  14.36
Ru-152E     07:29:54.256 -02:05:30.83 12.362 +0.042 -0.086 +0.030 +0.034 +0.065  12   8 0.0014 0.0020 0.0020 0.0014 0.0029     3.6    -0.3  ______  12.213 0.026 12.195 0.026 12.210 0.029 112.47604  -2.09189  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.18
Ru-152      07:29:58.476 -02:06:37.59 13.017 -0.187 -1.081 -0.059 -0.088 -0.147  48  33 0.0011 0.0017 0.0023 0.0012 0.0027     8.1    -3.5  ______  13.422 0.033 13.468 0.036 13.477 0.039 112.49365  -2.11043  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  13.83
Ru-152B     07:29:59.241 -02:05:57.46 15.019 +0.500 +0.022 +0.290 +0.309 +0.600  23  10 0.0046 0.0088 0.0181 0.0054 0.0211   -10.5    -6.4  ______  13.990 0.033 13.734 0.033 13.665 0.043 112.49683  -2.09929  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  14.78
Ru-152A     07:30:00.483 -02:06:22.67 14.341 +0.543 -0.085 +0.325 +0.329 +0.654  14   8 0.0061 0.0086 0.0168 0.0051 0.0131    -4.4     0.1  ______  13.287 0.033 13.032 0.029 12.958 0.024 112.50201  -2.10629  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  14.72
Ru-152C     07:30:02.57  -02:05:39.3  12.222 +0.573 -0.013 +0.342 +0.340 +0.683  13   9 0.0025 0.0031 0.0033 0.0022 0.0031    20.0   -36.0  ______  11.080 0.027 10.815 0.026 10.690 0.021 112.51071  -2.09425  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  11.66
Ru-152D     07:30:06.076 -02:04:37.51 11.076 +0.875 +0.491 +0.473 +0.449 +0.921  14  10 0.0013 0.0016 0.0024 0.0011 0.0019    -2.1    -3.1  ______   9.483 0.027  9.033 0.023  8.942 0.019 112.52531  -2.07708  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  10.94
SA99-6      07:53:33.338 -00:49:37.45 11.055 +1.252 +1.289 +0.650 +0.577 +1.227  49  38 0.0005 0.0010 0.0021 0.0005 0.0007    -5.1    -2.4  G9III:   8.921 0.029  8.289 0.042  8.139 0.020 118.38891  -0.82708  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  11.21
SA99-367    07:54:11.855 -00:25:35.18 11.152 +1.005 +0.832 +0.531 +0.477 +1.007  54  44 0.0007 0.0009 0.0017 0.0004 0.0007    -5.7     2.6  ______   9.427 0.023  8.899 0.051  8.803 0.023 118.54938  -0.42644  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  11.05
SA99-408    07:55:13.012 -00:25:32.85  9.807 +0.402 +0.038 +0.253 +0.247 +0.500  57  46 0.0007 0.0006 0.0008 0.0006 0.0007   -10.8    -6.1  ______   8.952 0.023  8.790 0.036  8.738 0.019 118.80424  -0.42580  0.1 -9.99  -9.99  -9.99  -9.99  -9.99   9.51
SA99-438    07:55:54.270 -00:16:49.08  9.397 -0.156 -0.729 -0.060 -0.081 -0.142 148 130 0.0010 0.0005 0.0010 0.0004 0.0006   -18.6    17.0  ______   9.710 0.022  9.807 0.022  9.846 0.023 118.97612  -0.28031  0.0 -9.99  -9.99  -9.99  -9.99  -9.99   9.38
SA99-447    07:56:06.686 -00:20:42.37  9.419 -0.068 -0.220 -0.031 -0.041 -0.073 108  97 0.0006 0.0005 0.0008 0.0004 0.0006   -10.8    -5.1  ______   9.550 0.023  9.577 0.023  9.600 0.024 119.02787  -0.34511  0.0 -9.99  -9.99  -9.99  -9.99  -9.99   9.30
SA100-241   08:52:34.049 -00:39:48.96 10.140 +0.157 +0.106 +0.078 +0.085 +0.162  67  57 0.0006 0.0005 0.0009 0.0004 0.0004     2.7    -2.6  A3____   9.813 0.023  9.739 0.022  9.726 0.023 133.14188  -0.66359  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  10.14
SA100-162   08:53:14.418 -00:43:30.35  9.150 +1.276 +1.495 +0.649 +0.552 +1.202  86  67 0.0009 0.0008 0.0012 0.0004 0.0006   -10.7   -11.6  K2III_   7.082 0.024  6.498 0.027  6.313 0.018 133.31008  -0.72509  0.0 -9.99  -9.99  -9.99  -9.99  -9.99   8.29
SA100-267   08:53:17.212 -00:41:29.35 13.027 +0.485 -0.062 +0.307 +0.302 +0.608   3   3 0.0069 0.0023 0.0133 0.0075 0.0040   -15.3    16.0  F9:___  12.026 0.026 11.785 0.022 11.727 0.019 133.32172  -0.69149  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  12.63
SA100-269   08:53:18.464 -00:41:09.81 12.350 +0.547 -0.040 +0.335 +0.331 +0.666   3   3 0.0035 0.0029 0.0150 0.0035 0.0017    -6.6    -5.8  F8____  11.229 0.024 10.951 0.022 10.911 0.023 133.32696  -0.68605  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  11.96
SA100-280   08:53:35.477 -00:36:41.16 11.799 +0.493 -0.001 +0.295 +0.291 +0.588  72  61 0.0007 0.0007 0.0010 0.0006 0.0009     9.8    -8.7  F8____  10.853 0.029 10.638 0.027 10.569 0.024 133.39782  -0.61142  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  11.29
SA100-394   08:53:54.515 -00:32:22.08 11.384 +1.317 +1.457 +0.705 +0.636 +1.341   9   5 0.0080 0.0040 0.0087 0.0023 0.0030    -1.4    -1.0  K2III:   9.056 0.041  8.388 0.046  8.199 0.027 133.47715  -0.53942  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  10.36
PG0918+029D 09:21:21.936 +02:47:28.28 12.272 +1.044 +0.821 +0.575 +0.535 +1.108  19  11 0.0021 0.0030 0.0071 0.0016 0.0018   -15.6   -10.1  ______  10.362 0.026  9.800 0.024  9.682 0.021 140.34140  +2.79119  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  11.48
PG0918+029  09:21:28.217 +02:46:02.27 13.327 -0.271 -1.081 -0.129 -0.159 -0.288  45  27 0.0024 0.0024 0.0030 0.0019 0.0063   -29.9   -23.3  ______  13.949 0.027 14.157 0.043 14.219 0.058 140.36756  +2.76731  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.48
PG0918+029B 09:21:32.924 +02:47:59.08 13.963 +0.765 +0.366 +0.417 +0.370 +0.787  20  11 0.0034 0.0072 0.0159 0.0025 0.0056   -13.7   -24.4  ______  12.611 0.028 12.268 0.022 12.270 0.024 140.38715  +2.79972  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.41
PG0918+029A 09:21:35.107 +02:46:19.43 14.490 +0.536 -0.032 +0.325 +0.336 +0.661  29  14 0.0033 0.0058 0.0095 0.0039 0.0085    -7.1    -7.5  ______  13.329 0.029 13.093 0.027 13.004 0.036 140.39626  +2.77205  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.88
PG0918+029C 09:21:42.306 +02:46:37.07 13.537 +0.631 +0.087 +0.367 +0.357 +0.722  21  10 0.0020 0.0028 0.0048 0.0015 0.0028   -13.2     9.3  ______  12.324 0.023 12.037 0.022 11.973 0.024 140.42624  +2.77695  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.11
BD-12_2918  09:31:19.37  -13:29:19.3  10.067 +1.501 +1.166 +1.067 +1.318 +2.385  13   9 0.0025 0.0028 0.0075 0.0039 0.0042   743.4    53.5  ______   6.361 0.020  5.755 0.029  5.511 0.020 142.83071 -13.48869  0.0 -9.99  -9.99  -9.99  -9.99  -9.99   9.26
PG0942-029D 09:45:08.637 -03:05:54.45 13.683 +0.576 +0.064 +0.341 +0.329 +0.668  13   8 0.0009 0.0029 0.0054 0.0015 0.0044    -0.9    11.4  ______  12.584 0.026 12.279 0.025 12.250 0.026 146.28600  -3.09847  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.48
PG0942-029A 09:45:09.90  -03:10:14.2  14.738 +0.888 +0.552 +0.563 +0.474 +1.035  16   8 0.0021 0.0021 0.0065 0.0023 0.0050   -12.0     6.0  ______  13.025 0.024 12.511 0.027 12.453 0.021 146.29127  -3.17062  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.16
PG0942-029B 09:45:11.574 -03:06:58.11 14.105 +0.573 +0.014 +0.353 +0.341 +0.693  13   8 0.0022 0.0014 0.0043 0.0018 0.0041     0.9     1.6  ______  12.954 0.026 12.679 0.029 12.679 0.038 146.29821  -3.11615  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.65
PG0942-029  09:45:11.85  -03:09:21.0  14.012 -0.298 -1.177 -0.132 -0.165 -0.296  21  13 0.0022 0.0025 0.0031 0.0026 0.0067    28.0   -36.0  ______  14.662 0.037 14.652 0.076 15.032 0.172 146.29936  -3.15584  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  14.16
PG0942-029C 09:45:14.386 -03:06:40.28 14.950 +0.803 +0.338 +0.488 +0.395 +0.884  16   8 0.0024 0.0024 0.0049 0.0021 0.0053   -14.0    -1.8  ______  13.372 0.025 12.952 0.029 12.895 0.037 146.30993  -3.11118  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  14.36
SA101-315   09:54:51.298 -00:27:31.09 11.249 +1.153 +1.056 +0.612 +0.559 +1.172  19  11 0.0037 0.0018 0.0067 0.0016 0.0021    -0.9    -0.6  K0III_   9.226 0.024  8.580 0.033  8.472 0.027 148.71373  -0.45862  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  10.28
SA101-316   09:54:52.034 -00:18:34.51 11.552 +0.493 +0.032 +0.293 +0.291 +0.584  17  10 0.0027 0.0024 0.0036 0.0019 0.0032     3.0   -10.3  F6____  10.570 0.026 10.335 0.023 10.359 0.026 148.71682  -0.30956  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  10.86
SA101-L1    09:55:29.09  -00:21:42.6  16.501 +0.757 -0.104 +0.421 +0.527 +0.947   4   1 0.0310 0.0340 0.0290 0.0225 0.1070     4.0     4.0  ______  15.005 0.045 14.593 0.080 14.524 0.101 148.87121  -0.36184  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  15.90
