#Title: UBVRI Photometric Standard Stars Around The Celestial Equator: Updates and Additions.   Landolt, 2009, AJ 137, 4186
#Author: Landolt A.U. Table: UBVRI Photometry of Standard Stars   aj298675t2_mrt.txt   PM (mas/yr)added from table5 aj298675t5_mrt.txt. 
# Blanks removed from name strings, Colons in coords, Errors for single obs changed from blanks to 0.009, DLtypes where available from: Drilling & Landolt 1979, AJ, 84, 783 
# Tphe-E removed, 0-593 stars.  SA92-260 & SA109-956 coords (and 2mass) corrected
#-------------------------------------------------------Landolt 2009------------------------------------------------------------------------------|------------------- 2MASS ---------------------------------------|----------------UKIRT-----------|-NOMAD
name       RhRmRs      Dddmds      V     B-V    U-B    V-R    R-I    V-I     n   m   eV    eBV    eUB    eVR    eVI     pmRA     pmDE  DLtype    J2m  meJ2m   H2m  meH2m   K2m  meK2m    2mra      2mde   d2m"    Zv     Yv    Jmko   Hmko  Kmko    Rn 
SA92-188    00:55:10.48  +00:23:09.2  14.751 +1.050 +0.751 +0.679 +0.573 +1.254  14   6 0.0096 0.0187 0.0551 0.0051 0.0088   -28.0   -40.0  ______  12.679 0.023 12.082 0.026 11.970 0.024  13.79366  +0.38589  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  14.19
SA92-409    00:55:11.977 +00:55:57.53 10.627 +1.138 +1.136 +0.734 +0.625 +1.361   5   3 0.0031 0.0027 0.0085 0.0022 0.0018  -230.4  -127.6  ______   8.412 0.024  7.791 0.031  7.636 0.020  13.79981  +0.93258  0.4 -9.99  -9.99  -9.99  -9.99  -9.99   9.99
SA92-410    00:55:14.254 +01:01:51.05 14.984 +0.398 -0.134 +0.239 +0.242 +0.484  27  13 0.0058 0.0064 0.0083 0.0052 0.0117     4.1   -11.4  ______  14.166 0.028 13.858 0.035 13.822 0.049  13.80934  +1.03080  0.3 -9.99  -9.99  -9.99  -9.99  -9.99  14.73
SA92-412    00:55:15.666 +01:01:54.33 15.036 +0.457 -0.152 +0.285 +0.304 +0.589  27  13 0.0054 0.0077 0.0133 0.0069 0.0106     5.0    -9.1  ______  14.040 0.029 13.743 0.025 13.698 0.041  13.81522  +1.03172  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  14.94
SA92-259    00:55:21.618 +00:40:31.00 14.997 +0.642 +0.108 +0.370 +0.452 +0.821   3   1 0.0115 0.0219 0.0214 0.0191 0.0150    -3.0   -10.2  ______  13.814 0.033 13.464 0.022 13.415 0.042  13.84005  +0.67535  0.3 -9.99  -9.99  -9.99  -9.99  -9.99  14.66
SA92-345    00:55:23.753 +00:51:07.19 15.216 +0.745 +0.121 +0.465 +0.476 +0.941   2   1 0.0007 0.0014 0.0339 0.0057 0.0057     2.6   -15.2  ______  13.685 0.024 13.213 0.029 13.165 0.038  13.84900  +0.85210  0.4 -9.99  -9.99  -9.99  -9.99  -9.99  14.74
SA92-347    00:55:26.072 +00:50:48.86 15.752 +0.543 -0.097 +0.339 +0.318 +0.658   4   2 0.0255 0.0280 0.0355 0.0295 0.0995    -3.5   -12.3  ______  14.603 0.030 14.356 0.048 14.301 0.080  13.85864  +0.84699  0.3 -9.99  -9.99  -9.99  -9.99  -9.99  15.49
SA92-260    00:55:28.94  +00:37:08.7  15.071 +1.162 +1.115 +0.719 +0.608 +1.328   9   4 0.0090 0.0093 0.0477 0.0070 0.0080     1.9    -8.1  ______  12.966 0.034 12.409 0.029 12.248 0.030  13.87119  +0.61886  2.2 -9.99  -9.99  -9.99  -9.99  -9.99  13.83
SA92-348    00:55:29.457 +00:44:32.78 12.109 +0.598 +0.056 +0.345 +0.341 +0.688   4   2 0.0010 0.0015 0.0035 0.0015 0.0020    -2.1   -13.6  G3V___  10.949 0.027 10.664 0.022 10.620 0.023  13.87273  +0.74249  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  11.48
SA92-417    00:55:32.20  +00:53:07.3  15.922 +0.477 -0.185 +0.351 +0.305 +0.657   6   3 0.0127 0.0188 0.0318 0.0151 0.0625    20.0    -6.0  ______  14.829 0.040 14.397 0.051 14.565 0.078  13.88415  +0.88537  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  15.57
