WAVELENGTH,FLUX,CONTINUUM,WAVELENGTH [um]
1006.3130682568201,5.902003e-13,6.4130813e-13,0.10063130682568203
1007.3218982581399,5.948032e-13,6.503552e-13,0.100732189825814
1008.3317396886794,6.030566e-13,6.5956095e-13,0.10083317396886796
1009.3425934483752,6.0884994e-13,6.687667e-13,0.10093425934483753
1010.3544605371576,6.217856e-13,6.781312e-13,0.10103544605371578
1011.3673420549493,6.335309e-13,6.876544e-13,0.10113673420549495
1012.3812390016806,6.3853057e-13,6.97257e-13,0.10123812390016808
1013.3961523772815,6.494029e-13,7.0693885e-13,0.10133961523772816
1014.412083181682,6.5718015e-13,7.1685886e-13,0.10144120831816822
1015.4290325148049,6.678144e-13,7.269376e-13,0.1015429032514805
1016.4470012765877,6.8717823e-13,7.372544e-13,0.10164470012765879
1017.4659905669529,6.9328896e-13,7.4749186e-13,0.10174659905669531
1018.486001385831,6.856704e-13,7.57888e-13,0.10184860013858311
1019.5070348331444,6.73687e-13,7.6852224e-13,0.10195070348331446
1020.5290918088308,6.537677e-13,7.793152e-13,0.1020529091808831
1021.552173412813,6.2480126e-13,7.902669e-13,0.10215521734128132
1022.5762806450209,5.5623426e-13,8.01536e-13,0.10225762806450212
1023.6014146053776,4.2529023e-13,8.126464e-13,0.10236014146053778
1024.62757619382,2.506189e-13,8.237568e-13,0.10246275761938202
1025.6547665102712,1.5300608e-13,8.356608e-13,0.10256547665102714
1026.6829866546545,2.5331712e-13,8.475648e-13,0.10266829866546548
1027.7122375269068,4.3719423e-13,8.5867516e-13,0.10277122375269071
1028.7425202269508,5.9369214e-13,8.713728e-13,0.1028742520226951
1029.7738358547097,7.02336e-13,8.832768e-13,0.10297738358547098
1030.8061853101206,7.622528e-13,8.951808e-13,0.10308061853101208
1031.8395696931063,8.062976e-13,9.078784e-13,0.10318395696931065
1032.8739901035904,8.4677117e-13,9.20576e-13,0.10328739901035905
1033.9094474415094,8.705792e-13,9.340672e-13,0.10339094474415096
1034.9459429067795,8.68992e-13,9.467648e-13,0.10349459429067796
1035.9834773993375,8.221696e-13,9.60256e-13,0.10359834773993377
1037.022052019107,8.197888e-13,9.737472e-13,0.10370220520191072
1038.0616678660103,9.015296e-13,9.872384e-13,0.10380616678660105
1039.1023259399778,9.547008e-13,1.0007296e-12,0.1039102325939978
1040.1440271409465,9.76128e-13,1.0150144e-12,0.10401440271409466
1041.1867727688254,9.927936e-13,1.0292992e-12,0.10411867727688257
1042.2305637235518,9.967616e-13,1.043584e-12,0.1042230563723552
1043.2754011050483,9.951744e-13,1.0578687e-12,0.10432754011050485
1044.321285913245,1.0110464e-12,1.0729472e-12,0.10443212859132452
1045.368219248065,1.0332672e-12,1.0880256e-12,0.10453682192480653
1046.4162021094385,1.0531071e-12,1.1031039e-12,0.10464162021094386
1047.4652354972952,1.0578687e-12,1.1181824e-12,0.10474652354972955
1048.5153206115515,1.0650111e-12,1.1340544e-12,0.10485153206115516
1049.566458452137,1.099136e-12,1.1499264e-12,0.10495664584521373
1050.6186501189754,1.1237376e-12,1.1657984e-12,0.10506186501189756
1051.6718965120028,1.1316736e-12,1.182464e-12,0.1051671896512003
