WAVELENGTH,FLUX,STATERROR,SYSERROR,FWHM,DATAQUAL,TOTEXP,WAVELENGTH [um]
1174.5999755859375,1.11950435e-10,5.7589437e-11,3.358513e-12,6.0,1,0.0,0.11745999755859377
1175.800048828125,5.5570208e-11,6.8369886e-11,1.6671061e-12,6.0,1,0.0,0.11758000488281252
1185.199951171875,2.042836e-11,3.538296e-11,6.128508e-13,6.0,1,0.0,0.11851999511718753
1198.199951171875,1.2031877e-11,2.0839823e-11,3.6095633e-13,6.0,1,0.0,0.11981999511718752
1199.4000244140625,2.3295818e-11,2.4322704e-11,6.988745e-13,6.0,1,0.0,0.11994000244140628
1201.699951171875,0.0,2.8278895e-11,6.127411e-13,6.0,1,0.0,0.12016999511718753
1202.9000244140625,0.0,2.703119e-11,9.176075e-13,6.0,1,0.0,0.12029000244140627
1204.0999755859375,0.0,2.8365883e-11,1.7031828e-12,6.0,1,0.0,0.12040999755859377
1205.300048828125,0.0,3.588381e-11,6.225634e-13,6.0,1,0.0,0.12053000488281253
1206.5,0.0,3.707982e-12,6.4224125e-14,6.0,1,0.0,0.12065000000000002
1207.5999755859375,0.0,4.9479656e-11,3.4432012e-12,6.0,1,0.0,0.12075999755859378
1208.800048828125,0.0,5.5978677e-11,6.301424e-12,6.0,1,0.0,0.12088000488281252
1210.0,0.0,6.8468495e-11,7.2651165e-12,6.0,1,0.0,0.12100000000000002
1211.199951171875,0.0,1.1732232e-10,7.30702e-12,6.0,1,0.0,0.12111999511718752
1212.4000244140625,0.0,1.5529611e-10,8.959057e-12,6.0,1,0.0,0.12124000244140627
1213.5,0.0,1.7311072e-10,1.104506e-11,6.0,1,0.0,0.12135000000000003
1214.699951171875,0.0,1.7906668e-10,1.0102689e-11,6.0,1,0.0,0.12146999511718752
1215.9000244140625,0.0,1.8133334e-10,1.0123946e-11,6.0,1,0.0,0.12159000244140628
1217.0999755859375,0.0,1.8488468e-10,9.8039485e-12,6.0,1,0.0,0.12170999755859377
