CNS5,GJ,Comp,NComp,P_,GJp,GaiaDR3,HIP,RAJ2000,DEJ2000,_tab1_11,plx,pmRA,pmDE,RV,Gmag,BPmag,RPmag,GHIPmag,G-RPHIP,Gmagr,__G-RP_r,f__G-RP_r,Jmag,Hmag,Ksmag,W1mag,W2mag,W3mag,W4mag,SimbadName
4184,654,B,2,0,653.,4364480521350598144,83599,256.3033222372,-5.09926700748,2016.0,95.6,-917.21,-1132.15,34.44,9.177887,10.293622,8.120326,,,9.177887,1.052557,0,6.78,6.193,5.975,,,,,CNS5 4184
4183,653,A,2,1,,4364527594192166400,83591,256.26005485188,-5.07157199479,2016.0,95.6,-916.34,-1138.76,34.14,7.2647023,7.934502,6.47054,,,7.264702,0.790246,0,5.522,4.942,4.726,,,,,CNS5 4183
4221,660.1,A,2,1,,4364702279101280256,84212,258.21449359962,-5.12851203364,2016.0,43.3,192.69,-704.42,-50.73,10.871941,11.846502,9.891097,,,10.871941,0.97943,0,8.661,8.069,7.937,7.741,7.61,7.549,7.418,CNS5 4221
4220,660.1,B,2,0,,4364702279101281280,84212,258.21424398532,-5.12688724008,2016.0,43.51,192.42,-710.29,,17.352177,19.634722,15.714359,,,17.352177,1.637817,1,13.052,12.565,12.227,,,,,CNS5 4220
4277,4005,,,0,,4363125648147587072,,261.06955762615,-4.36501575647,2016.0,48.55,-234.46,-122.97,,11.106624,12.388008,9.983679,,,11.106624,1.120575,0,8.515,7.91,7.655,7.525,7.417,7.32,7.126,CNS5 4277
4216,12461,,,0,,4366633811793952768,,258.01634026215,-3.39254534648,2016.0,51.2,-371.41,-181.5,,15.495008,18.233423,14.054442,,,15.495008,1.446352,0,11.607,10.994,10.637,10.422,10.209,9.966,8.916,CNS5 4216
4248,4001,,,0,,4367318326501438976,84652,259.59091097164,-1.78206262505,2016.0,45.07,98.71,-126.49,,9.887444,10.794021,8.839892,,,9.887444,0.978991,0,7.554,6.918,6.715,6.642,6.569,6.549,6.411,CNS5 4248
4271,12487,B,3,0,12435,4367026096927711232,,260.72118624648,-2.40000193942,2016.0,51.02,57.46,-105.33,,11.727029,12.458371,9.874535,,,11.727029,1.167051,0,8.256,7.683,7.44,7.241,7.126,7.054,6.975,CNS5 4271
4272,12488,C,3,1,,4367026096925086720,,260.72139018916,-2.4000030089,2016.0,51.07,49.27,-120.37,,11.736005,12.487507,9.919555,,,11.736005,1.163237,0,8.256,7.683,7.44,7.241,7.126,7.054,6.975,CNS5 4272
4270,12486,A,3,0,12435,4367026303085396480,85042,260.71391542329,-2.38865813356,2016.0,51.01,48.7,-108.12,-35.98,6.121606,6.455145,5.610275,,,6.121606,0.508385,0,5.133,4.803,4.686,4.708,4.46,4.704,4.661,CNS5 4270
4282,12494,,,0,,4363875373342033920,,261.56343447541,-3.1923922727,2016.0,53.85,-29.98,-103.38,,13.544289,15.449284,12.244468,,,13.544289,1.299247,0,10.377,9.791,9.501,9.307,9.086,8.951,8.603,CNS5 4282
4289,12499,,,0,,4373221192113292800,,261.99815531411,-1.18736017542,2016.0,41.86,307.65,-315.31,,20.564705,21.634705,18.97806,,,20.564705,1.606977,1,15.259,14.415,13.852,13.222,12.897,11.797,8.935,CNS5 4289
4306,678,AB,2,1,,,85667,262.59946470632,-1.06250356366,1991.25,61.19,-127.77,-168.61,,,,,5.137317,0.521862,5.137317,0.521862,2,,,,,,,,CNS5 4306
4398,12563,,,0,,4175226257790341632,,266.59795094635,-5.86464585556,2016.0,40.07,-9.72,-226.89,,15.553224,17.959799,14.165123,,,15.553224,1.397055,0,11.981,11.395,11.081,10.807,10.641,10.53,8.879,CNS5 4398
4418,696,,,0,,4175058204312300032,87322,267.64168088916,-6.05087774933,2016.0,45.06,-27.71,-132.78,-25.87,9.472166,10.377814,8.534009,,,9.472166,0.938944,0,7.384,6.704,6.541,6.452,6.448,6.415,6.334,CNS5 4418
4404,12565,,,0,,,,266.6698132,-3.6383664,2000.0,32.8,-37.9,-107.1,,,,,,,,,,17.53,17.57,17.08,17.867,14.789,11.98,8.97,CNS5 4404
4416,12573,,,0,,4371611781971073024,,267.60161204988,-0.26995464832,2016.0,108.58,-397.5,197.42,19.0,,,16.678308,,,,,,13.294,12.411,11.849,11.182,10.906,10.287,8.997,CNS5 4416
